,variable,year,population
725,Poland,1940,1825
726,Romania,1940,323
727,Wyoming,1940,7372
728,South Carolina,1940,558
729,Georgia,1940,2222
730,Sweden,1940,5888
731,Kentucky,1940,9442
732,Ohio,1940,15772
733,New Jersey,1940,1977
734,Germany,1940,7076
735,Hungary,1940,671
736,Lithuania,1940,213
737,Texas,1940,19657
738,New Mexico,1940,26309
739,Other USSR/Russia,1940,11293
740,Indiana,1940,14868
741,California,1940,5852
742,Michigan,1940,8036
743,Virginia,1940,2686
744,Norway,1940,953
745,Minnesota,1940,7264
746,SOUTH AMERICA,1940,250
747,Switzerland,1940,853
748,Denmark,1940,1856
749,Canada,1940,4415
750,Connecticut,1940,1136
751,Washington,1940,2132
752,South Dakota,1940,5416
753,Florida,1940,763
754,Oregon,1940,1671
755,Alabama,1940,2695
756,North Carolina,1940,1921
757,Italy,1940,8448
758,Tennessee,1940,6073
759,Arkansas,1940,9959
760,Ireland,1940,2531
761,Maine,1940,986
762,Japan,1940,914
763,West Virginia,1940,2923
764,Guam,1940,85
765,Netherlands,1940,679
766,Vermont,1940,681
767,Maryland,1940,1145
768,Scotland,1940,2083
769,Arizona,1940,1606
770,Montana,1940,3065
771,Mexico,1940,6466
772,Delaware,1940,205
773,England,1940,4776
774,Belgium,1940,342
775,Philippines,1940,218
776,Idaho,1940,2086
777,Utah,1940,5649
778,Massachusetts,1940,2658
779,Bulgaria,1940,222
780,Hawaii,1940,85
781,Mississippi,1940,2179
782,Greece,1940,1048
783,Austria,1940,3233
784,"United States, ns",1940,150
785,Wales,1940,580
786,Finland,1940,413
787,France,1940,800
788,Czechoslovakia,1940,1038
789,Nevada,1940,439
790,District of Columbia,1940,519
791,Yugoslavia,1940,2220
792,Puerto Rico,1940,29
793,Central America,1940,51
794,Turkey,1940,80
795,Rhode Island,1940,282
796,China,1940,145
797,New Hampshire,1940,350
798,Korea,1940,12
799,Spain,1940,164
800,Abroad (unknown) or at sea,1940,27
801,India,1940,52
802,West Indies,1940,55
803,Australia and New Zealand,1940,122
804,Alaska,1940,48
805,Syria,1940,167
806,U.S. Virgin Islands,1940,4
807,Israel/Palestine,1940,29
808,Luxembourg,1940,50
809,"Europe, ns",1940,13
810,American Samoa,1940,2
811,Portugal,1940,14
812,Latvia,1940,38
813,AFRICA,1940,61
814,Cuba,1940,23
815,Iran,1940,7
816,Malta,1940,1
817,"Eastern Europe, ns",1940,1
818,"United Kingdom, ns",1940,11
819,Iceland,1940,2
820,"North America, ns",1940,2
821,Albania,1940,16
822,"Central Europe, ns",1940,3
823,Indonesia,1940,3
824,"Asia, nec/ns",1940,4
825,Estonia,1940,8
826,Atlantic Islands,1940,4
827,Saudi Arabia,1940,1
828,"Asia Minor, ns",1940,3
829,Pacific Islands,1940,1
830,Lebanon,1940,5
831,Cyprus,1940,1
832,Singapore,1940,1
833,Oman,1940,1
834,Pennsylvania,1870,1572
835,Vermont,1870,375
836,Missouri,1870,1721
837,Kansas,1870,269
838,Colorado,1870,6334
839,Iowa,1870,1314
840,Ireland,1870,1702
841,Virginia,1870,510
842,Maryland,1870,197
843,Illinois,1870,1826
844,Mexico,1870,115
845,"Prussia, nec",1870,668
846,New York,1870,2796
847,North Carolina,1870,201
848,Ohio,1870,2072
849,Kentucky,1870,727
850,Tennessee,1870,291
851,Denmark,1870,47
852,New Hampshire,1870,138
853,Massachusetts,1870,629
854,Maine,1870,357
855,Schleswig,1870,45
856,France,1870,207
857,Baden,1870,142
858,Indiana,1870,817
859,Bavaria,1870,169
860,Canada,1870,671
861,Michigan,1870,529
862,Switzerland,1870,143
863,Louisiana,1870,34
864,Wisconsin,1870,627
865,Mississippi,1870,42
866,Alabama,1870,59
867,Wales,1870,163
868,New Jersey,1870,177
869,California,1870,52
870,Nebraska,1870,183
871,Delaware,1870,27
